customer_id,name,email,country,city,phone,created_date
1,Customer 1,customer1@mail.com,Chile,Bogota,+593997385781,2023-06-08
2,Customer 2,customer2@mail.com,Colombia,Lima,+593979036580,2022-06-29
3,Customer 3,customer3@mail.com,Ecuador,Guayaquil,+593953864712,2022-05-03
4,Customer 4,customer4@mail.com,Colombia,Lima,+593926140113,2025-06-23
5,Customer 5,customer5@mail.com,Peru,Bogota,+593936358327,2025-10-28
6,Customer 6,customer6@mail.com,Colombia,Bogota,+593936299578,2024-12-10
7,Customer 7,customer7@mail.com,Colombia,Cuenca,+593982350548,2024-12-30
8,Customer 8,customer8@mail.com,Peru,Santiago,+593931859073,2023-04-25
9,Customer 9,customer9@mail.com,Chile,Santiago,+593932536636,2024-11-08
10,Customer 10,customer10@mail.com,Colombia,Guayaquil,+593965638138,2022-03-25
11,Customer 11,customer11@mail.com,Chile,Bogota,+593987141179,2025-03-24
12,Customer 12,customer12@mail.com,Colombia,Cuenca,+593931670307,2023-07-19
13,Customer 13,customer13@mail.com,Chile,Cuenca,+593926215665,2023-09-11
14,Customer 14,customer14@mail.com,Peru,Lima,+593993269226,2022-12-23
15,Customer 15,customer15@mail.com,Colombia,Lima,+593921756878,2024-03-26
16,Customer 16,customer16@mail.com,Peru,Cuenca,+593916469723,2023-10-09
17,Customer 17,customer17@mail.com,Colombia,Lima,+593966434193,2023-03-19
18,Customer 18,customer18@mail.com,Peru,Bogota,+593962584289,2024-12-28
19,Customer 19,customer19@mail.com,Peru,Quito,+593910344126,2023-06-07
20,Customer 20,customer20@mail.com,Colombia,Bogota,+593957816341,2022-05-23
21,Customer 21,customer21@mail.com,Colombia,Cuenca,+593926525823,2022-07-11
22,Customer 22,customer22@mail.com,Colombia,Cuenca,+593937571338,2025-11-11
23,Customer 23,customer23@mail.com,Ecuador,Bogota,+593931884601,2023-01-13
24,Customer 24,customer24@mail.com,Chile,Lima,+593968406092,2023-08-04
25,Customer 25,customer25@mail.com,Ecuador,Lima,+593995023491,2023-06-19
26,Customer 26,customer26@mail.com,Ecuador,Santiago,+593921301119,2025-08-09
27,Customer 27,customer27@mail.com,Peru,Cuenca,+593915939334,2024-10-29
28,Customer 28,customer28@mail.com,Colombia,Guayaquil,+593913330922,2025-07-18
29,Customer 29,customer29@mail.com,Chile,Santiago,+593999595715,2025-11-11
30,Customer 30,customer30@mail.com,Peru,Lima,+593960007246,2022-04-03
31,Customer 31,customer31@mail.com,Ecuador,Bogota,+593972022454,2023-06-13
32,Customer 32,customer32@mail.com,Colombia,Lima,+593924693325,2025-03-23
33,Customer 33,customer33@mail.com,Peru,Bogota,+593959359781,2023-02-09
34,Customer 34,customer34@mail.com,Colombia,Santiago,+593920854520,2024-04-19
35,Customer 35,customer35@mail.com,Peru,Cuenca,+593953965824,2025-03-18
36,Customer 36,customer36@mail.com,Colombia,Lima,+593986351077,2024-06-07
37,Customer 37,customer37@mail.com,Ecuador,Bogota,+593923925413,2025-07-14
